AIRPORT397,AIRPORT397,"Adolf Würth Airport","Schwaebisch Hall","Germany",null,"EDTY"
AIRPORT396,AIRPORT396,"Mengen-Hohentengen Airport","Mengen","Germany",null,"EDTM"
AIRPORT395,AIRPORT395,"Freiburg i. Br. Airport","Freiburg","Germany",null,"EDTF"
AIRPORT394,AIRPORT394,"Donaueschingen-Villingen Airport","Donaueschingen","Germany","ZQL","EDTD"
AIRPORT393,AIRPORT393,"Zweibrücken Airport","Zweibruecken","Germany","ZQW","EDRZ"
AIRPORT392,AIRPORT392,"Speyer Airport","Speyer","Germany","ZQC","EDRY"
AIRPORT391,AIRPORT391,"Trier-Föhren Airport","Trier","Germany","ZQF","EDRT"
AIRPORT390,AIRPORT390,"Koblenz-Winningen Airport","Koblenz","Germany","ZNV","EDRK"
AIRPORT3138,AIRPORT3138,"Cuddapah Airport","Cuddapah","India","CDP","VOCP"
AIRPORT3137,AIRPORT3137,"Calicut International Airport","Calicut","India","CCJ","VOCL"
AIRPORT3136,AIRPORT3136,"Cochin International Airport","Kochi","India","COK","VOCI"
AIRPORT3135,AIRPORT3135,"Coimbatore International Airport","Coimbatore","India","CJB","VOCB"
AIRPORT3134,AIRPORT3134,"Vijayawada Airport","Vijayawada","India","VGA","VOBZ"
AIRPORT3132,AIRPORT3132,"Bellary Airport","Bellary","India","BEP","VOBI"
AIRPORT3131,AIRPORT3131,"Kempegowda International Airport","Bangalore","India","BLR","VOBL"
AIRPORT3130,AIRPORT3130,"Agatti Airport","Agatti Island","India","AGX","VOAT"
AIRPORT389,AIRPORT389,"Haßfurt-Schweinfurt Airport","Hassfurt","Germany",null,"EDQT"
AIRPORT388,AIRPORT388,"Hof-Plauen Airport","Hof","Germany","HOQ","EDQM"
AIRPORT387,AIRPORT387,"Burg Feuerstein Airport","Burg Feuerstein","Germany",null,"EDQE"
AIRPORT386,AIRPORT386,"Bayreuth Airport","Bayreuth","Germany","BYU","EDQD"
AIRPORT385,AIRPORT385,"Aalen-Heidenheim/Elchingen Airport","Aalen-heidenheim","Germany",null,"EDPA"
AIRPORT384,AIRPORT384,"Stendal-Borstel Airport","Stendal","Germany","ZSN","EDOV"
AIRPORT383,AIRPORT383,"Schwerin Parchim Airport","Parchim","Germany","SZW","EDOP"
AIRPORT382,AIRPORT382,"Friedrichshafen Airport","Friedrichshafen","Germany","FDH","EDNY"
AIRPORT381,AIRPORT381,"Leutkirch-Unterzeil Airport","Leutkirch","Germany",null,"EDNL"
AIRPORT380,AIRPORT380,"Vilshofen Airport","Vilshofen","Germany",null,"EDMV"
AIRPORT3129,AIRPORT3129,"Biratnagar Airport","Biratnagar","Nepal","BIR","VNVT"
AIRPORT3128,AIRPORT3128,"Simara Airport","Simara","Nepal","SIF","VNSI"
AIRPORT3127,AIRPORT3127,"Pokhara Airport","Pokhara","Nepal","PKR","VNPK"
AIRPORT3125,AIRPORT3125,"Tribhuvan International Airport","Kathmandu","Nepal","KTM","VNKT"
AIRPORT3124,AIRPORT3124,"Janakpur Airport","Janakpur","Nepal",null,"VNJP"
AIRPORT3122,AIRPORT3122,"Gautam Buddha Airport","Bhairawa","Nepal","BWA","VNBW"
AIRPORT3121,AIRPORT3121,"Macau International Airport","Macau","Macau","MFM","VMMC"
AIRPORT3120,AIRPORT3120,"Wattay International Airport","Vientiane","Laos","VTE","VLVT"
AIRPORT379,AIRPORT379,"Straubing Airport","Straubing","Germany","RBM","EDMS"
AIRPORT378,AIRPORT378,"Oberpfaffenhofen Airport","Oberpfaffenhofen","Germany","OBF","EDMO"
AIRPORT377,AIRPORT377,"Mindelheim-Mattsies Airport","Mindelheim","Germany",null,"EDMN"
AIRPORT376,AIRPORT376,"Eggenfelden Airport","Eggenfelden","Germany",null,"EDME"
AIRPORT375,AIRPORT375,"Biberach a.d. Riß Airport","Biberach","Germany",null,"EDMB"
AIRPORT374,AIRPORT374,"Augsburg Airport","Augsburg","Germany","AGB","EDMA"
AIRPORT373,AIRPORT373,"Dortmund Airport","Dortmund","Germany","DTM","EDLW"
AIRPORT372,AIRPORT372,"Stadtlohn-Vreden Airport","Stadtlohn","Germany",null,"EDLS"
AIRPORT371,AIRPORT371,"Paderborn Lippstadt Airport","Paderborn","Germany","PAD","EDLP"
AIRPORT370,AIRPORT370,"Mönchengladbach Airport","Moenchengladbach","Germany","MGL","EDLN"
AIRPORT3119,AIRPORT3119,"Sam Neua Airport","Sam Neua","Laos",null,"VLSN"
AIRPORT3118,AIRPORT3118,"Savannakhet Airport","Savannakhet","Laos","ZVK","VLSK"
AIRPORT3117,AIRPORT3117,"Phonesavanh Airport","Phong Savanh","Laos",null,"VLPV"
AIRPORT3116,AIRPORT3116,"Pakse International Airport","Pakse","Laos","PKZ","VLPS"
AIRPORT3115,AIRPORT3115,"Luang Phabang International Airport","Luang Prabang","Laos","LPQ","VLLB"
AIRPORT3113,AIRPORT3113,"Satna Airport","Satna","India","TNI","VIST"
AIRPORT3112,AIRPORT3112,"Sheikh ul Alam Airport","Srinagar","India","SXR","VISR"
