AIRLINE3328,AIRLINE3328,"Lund University School of Aviation","","UNY","Sweden",0
AIRLINE5500,AIRLINE5500,"Yuzhnaya Aircompany","","UGN","Kazakhstan",0
AIRLINE3327,AIRLINE3327,"Luhansk","","LHS","Ukraine",0
AIRLINE3326,AIRLINE3326,"Lufttransport","L5","LTR","Norway",1
AIRLINE3325,AIRLINE3325,"Lufttaxi Fluggesellschaft","DV","LTF","Germany",0
AIRLINE3324,AIRLINE3324,"Lufthansa Technik","","LHT","Germany",0
AIRLINE3323,AIRLINE3323,"Lufthansa Systems","L1","","Germany",0
AIRLINE1149,AIRLINE1149,"Aeroservicios California Pacifico","","PIF","Mexico",0
AIRLINE3322,AIRLINE3322,"Lufthansa CityLine","CL","CLH","Germany",1
AIRLINE1148,AIRLINE1148,"Air South West","","PIE","United Kingdom",0
AIRLINE3321,AIRLINE3321,"Lufthansa Cargo","LH","GEC","Germany",1
AIRLINE1147,AIRLINE1147,"Ave.com","","PHW","United Arab Emirates",0
AIRLINE3320,AIRLINE3320,"Lufthansa","LH","DLH","Germany",1
AIRLINE1146,AIRLINE1146,"Al Farana Airline","","PHR","Egypt",0
AIRLINE1145,AIRLINE1145,"Air Cargo Express International","","PFT","United States",0
AIRLINE1144,AIRLINE1144,"Aerolineas Chihuahua","","PFI","Mexico",0
AIRLINE1143,AIRLINE1143,"Aeropelican Air Services","OT","PEL","Australia",1
AIRLINE1142,AIRLINE1142,"Air Palace","","PCS","Mexico",0
AIRLINE1141,AIRLINE1141,"Air Pack Express","","PCK","Spain",0
AIRLINE1140,AIRLINE1140,"Aeropostal Cargo de Mexico","","PCG","Mexico",0
AIRLINE3319,AIRLINE3319,"Luftfahrtgesellschaft Walter","HE","LGW","Germany",1
AIRLINE3318,AIRLINE3318,"Luftfahrt-Vermietungs-Dienst","","LVD","Austria",0
AIRLINE3317,AIRLINE3317,"Luft Carago","","LUT","South Africa",0
